 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
723,1 pat p30 7 day ctrl 10x 4_colony_328.tiff,339,73.497,0.789,86445,86445,1.317,0.759,0.892,23.844,18.102
724,1 pat p30 7 day ctrl 10x 4_colony_329.tiff,189,53.355,0.834,48195,48195,1.33,0.752,0.898,22.507,16.915
725,1 pat p30 7 day ctrl 10x 4_colony_330.tiff,224,57.598,0.848,57120,57120,1.645,0.608,0.916,24.55,14.989
726,1 pat p30 7 day ctrl 10x 4_colony_331.tiff,294,65.841,0.852,74970,74970,1.519,0.658,0.92,27.066,18.252
727,1 pat p30 7 day ctrl 10x 4_colony_332.tiff,436,77.598,0.91,111180,111180,1.319,0.758,0.955,27.687,20.74
728,1 pat p30 7 day ctrl 10x 4_colony_333.tiff,253,59.598,0.895,64515,64515,1.233,0.811,0.917,19.928,16.165
729,1 pat p30 7 day ctrl 10x 4_colony_335.tiff,222,54.527,0.938,56610,56610,1.173,0.853,0.941,18.208,15.524
730,1 pat p30 7 day ctrl 10x 4_colony_336.tiff,212,52.527,0.966,54060,54060,1.171,0.854,0.944,19.734,16.71
731,1 pat p30 7 day ctrl 10x 4_colony_337.tiff,216,54.77,0.905,55080,55080,1.253,0.798,0.923,24.292,19.445
732,1 pat p30 7 day ctrl 10x 4_colony_338.tiff,622,92.912,0.905,158610,158610,1.227,0.815,0.953,31.918,26.288
733,1 pat p30 7 day ctrl 10x 4_colony_339.tiff,153,46.87,0.875,39015,39015,1.587,0.63,0.924,18.895,11.523
734,1 pat p30 7 day ctrl 10x 4_colony_340.tiff,243,61.497,0.807,61965,61965,1.428,0.7,0.903,21.02,14.719
735,1 pat p30 7 day ctrl 10x 4_colony_341.tiff,168,47.698,0.928,42840,42840,1.275,0.785,0.923,19.027,14.521
736,1 pat p30 7 day ctrl 10x 4_colony_342.tiff,302,67.497,0.833,77010,77010,1.495,0.669,0.914,23.979,16.035
737,1 pat p30 7 day ctrl 10x 4_colony_343.tiff,202,51.941,0.941,51510,51510,1.328,0.753,0.937,20.068,15.354
738,1 pat p30 7 day ctrl 10x 4_colony_344.tiff,353,70.669,0.888,90015,90015,1.429,0.7,0.94,25.341,17.736
739,1 pat p30 7 day ctrl 10x 4_colony_345.tiff,234,58.87,0.848,59670,59670,1.33,0.752,0.927,19.908,14.966
740,1 pat p30 7 day ctrl 10x 4_colony_346.tiff,209,52.527,0.952,53295,53295,1.181,0.846,0.937,19.071,16.09
