 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
360,7 pat OD ki67 (561)_0015_C001T001_colony_27.tiff,2040,169.924,0.888,520200,520200,1.283,0.780,0.970
361,7 pat OD ki67 (561)_0015_C001T001_colony_3.tiff,2859,203.622,0.867,729045,729045,1.280,0.781,0.965
362,7 pat OD ki67 (561)_0015_C001T001_colony_4.tiff,2557,190.167,0.889,652035,652035,1.298,0.771,0.971
363,7 pat OD ki67 (561)_0015_C001T001_colony_5.tiff,2135,176.267,0.864,544425,544425,1.410,0.709,0.967
364,7 pat OD ki67 (561)_0015_C001T001_colony_6.tiff,2639,197.095,0.854,672945,672945,1.422,0.703,0.969
365,7 pat OD ki67 (561)_0015_C001T001_colony_7.tiff,2659,192.995,0.897,678045,678045,1.201,0.833,0.972
366,7 pat OD ki67 (561)_0015_C001T001_colony_8.tiff,3056,215.338,0.828,779280,779280,1.623,0.616,0.973
367,7 pat OD ki67 (561)_0015_C001T001_colony_9.tiff,2836,204.409,0.853,723180,723180,1.534,0.652,0.975
368,7 pat OD ki67 (561)_0016_C001T001_colony_1.tiff,2565,191.966,0.875,654075,654075,1.398,0.715,0.971
369,7 pat OD ki67 (561)_0016_C001T001_colony_10.tiff,2454,185.338,0.898,625770,625770,1.155,0.866,0.971
370,7 pat OD ki67 (561)_0016_C001T001_colony_11.tiff,2454,187.581,0.876,625770,625770,1.227,0.815,0.969
371,7 pat OD ki67 (561)_0016_C001T001_colony_12.tiff,2610,194.652,0.866,665550,665550,1.267,0.789,0.973
372,7 pat OD ki67 (561)_0016_C001T001_colony_13.tiff,2446,185.439,0.894,623730,623730,1.229,0.814,0.972
373,7 pat OD ki67 (561)_0016_C001T001_colony_14.tiff,2154,173.338,0.901,549270,549270,1.098,0.911,0.971
374,7 pat OD ki67 (561)_0016_C001T001_colony_15.tiff,2570,190.409,0.891,655350,655350,1.284,0.779,0.973
375,7 pat OD ki67 (561)_0016_C001T001_colony_16.tiff,3241,220.593,0.837,826455,826455,1.577,0.634,0.965
376,7 pat OD ki67 (561)_0016_C001T001_colony_17.tiff,2776,197.723,0.892,707880,707880,1.120,0.893,0.973
377,7 pat OD ki67 (561)_0016_C001T001_colony_18.tiff,2083,170.510,0.900,531165,531165,1.146,0.873,0.970
378,7 pat OD ki67 (561)_0016_C001T001_colony_19.tiff,2645,194.551,0.878,674475,674475,1.309,0.764,0.969
379,7 pat OD ki67 (561)_0016_C001T001_colony_2.tiff,2339,179.924,0.908,596445,596445,1.155,0.866,0.972
380,7 pat OD ki67 (561)_0016_C001T001_colony_20.tiff,2822,200.794,0.880,719610,719610,1.265,0.790,0.972
381,7 pat OD ki67 (561)_0016_C001T001_colony_21.tiff,2855,200.066,0.896,728025,728025,1.161,0.861,0.974
382,7 pat OD ki67 (561)_0016_C001T001_colony_22.tiff,2118,173.238,0.887,540090,540090,1.307,0.765,0.970
383,7 pat OD ki67 (561)_0016_C001T001_colony_23.tiff,2093,170.752,0.902,533715,533715,1.166,0.857,0.970
384,7 pat OD ki67 (561)_0016_C001T001_colony_3.tiff,2471,187.823,0.880,630105,630105,1.259,0.794,0.969
385,7 pat OD ki67 (561)_0016_C001T001_colony_4.tiff,2914,206.652,0.857,743070,743070,1.315,0.761,0.970
386,7 pat OD ki67 (561)_0016_C001T001_colony_5.tiff,2446,186.995,0.879,623730,623730,1.346,0.743,0.974
387,7 pat OD ki67 (561)_0016_C001T001_colony_6.tiff,2430,183.581,0.906,619650,619650,1.106,0.904,0.972
388,7 pat OD ki67 (561)_0016_C001T001_colony_7.tiff,2444,185.338,0.894,623220,623220,1.225,0.816,0.974
389,7 pat OD ki67 (561)_0016_C001T001_colony_8.tiff,2142,176.409,0.865,546210,546210,1.444,0.692,0.969
390,7 pat OD ki67 (561)_0016_C001T001_colony_9.tiff,2294,178.267,0.907,584970,584970,1.232,0.812,0.975
391,7 pat OD ki67 (561)_C001T001_colony_1.tiff,3480,221.966,0.888,887400,887400,1.280,0.781,0.977
392,7 pat OD ki67 (561)_C001T001_colony_10.tiff,2593,192.409,0.880,661215,661215,1.211,0.825,0.971
