 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity,Major,Minor
149,7 pat p30 7 day ctrl 10x 1_colony_37.tiff,235,57.355,0.898,59925,59925,1.449,0.69,0.934,22.102,15.784
150,7 pat p30 7 day ctrl 10x 1_colony_38.tiff,262,59.355,0.935,66810,66810,1.234,0.81,0.941,20.29,16.441
151,7 pat p30 7 day ctrl 10x 1_colony_39.tiff,249,58.77,0.906,63495,63495,1.425,0.702,0.938,21.257,14.914
152,7 pat p30 7 day ctrl 10x 1_colony_4.tiff,196,51.113,0.943,49980,49980,1.217,0.821,0.936,18.054,14.881
153,7 pat p30 7 day ctrl 10x 1_colony_40.tiff,205,53.113,0.913,52275,52275,1.288,0.776,0.926,19.273,14.996
154,7 pat p30 7 day ctrl 10x 1_colony_41.tiff,252,58.77,0.917,64260,64260,1.238,0.808,0.933,19.928,16.101
155,7 pat p30 7 day ctrl 10x 1_colony_42.tiff,237,56.77,0.924,60435,60435,1.308,0.764,0.933,20.618,15.686
156,7 pat p30 7 day ctrl 10x 1_colony_43.tiff,213,53.355,0.94,54315,54315,1.331,0.751,0.936,18.998,14.275
157,7 pat p30 7 day ctrl 10x 1_colony_44.tiff,215,53.698,0.937,54825,54825,1.37,0.73,0.945,20.348,15.393
158,7 pat p30 7 day ctrl 10x 1_colony_45.tiff,254,58.77,0.924,64770,64770,1.261,0.793,0.937,20.198,16.011
159,7 pat p30 7 day ctrl 10x 1_colony_46.tiff,186,49.113,0.969,47430,47430,1.129,0.886,0.937,17.521,15.406
160,7 pat p30 7 day ctrl 10x 1_colony_47.tiff,206,52.527,0.938,52530,52530,1.221,0.819,0.932,19.13,15.175
161,7 pat p30 7 day ctrl 10x 1_colony_48.tiff,218,53.941,0.942,55590,55590,1.277,0.783,0.938,20.233,15.921
162,7 pat p30 7 day ctrl 10x 1_colony_49.tiff,193,51.698,0.907,49215,49215,1.384,0.722,0.932,18.444,13.323
163,7 pat p30 7 day ctrl 10x 1_colony_5.tiff,225,55.698,0.911,57375,57375,1.231,0.812,0.936,19.745,16.121
164,7 pat p30 7 day ctrl 10x 1_colony_50.tiff,175,48.527,0.934,44625,44625,1.063,0.941,0.923,16.63,16.001
165,7 pat p30 7 day ctrl 10x 1_colony_51.tiff,201,51.698,0.945,51255,51255,1.247,0.802,0.939,19.111,15.457
166,7 pat p30 7 day ctrl 10x 1_colony_53.tiff,230,56.184,0.916,58650,58650,1.211,0.826,0.926,18.831,15.551
167,7 pat p30 7 day ctrl 10x 1_colony_54.tiff,336,71.841,0.818,85680,85680,1.659,0.603,0.926,27.772,16.688
168,7 pat p30 7 day ctrl 10x 1_colony_55.tiff,206,51.941,0.96,52530,52530,1.267,0.789,0.941,18.227,14.39
169,7 pat p30 7 day ctrl 10x 1_colony_56.tiff,228,56.184,0.908,58140,58140,1.372,0.729,0.934,19.955,14.548
170,7 pat p30 7 day ctrl 10x 1_colony_57.tiff,219,54.527,0.926,55845,55845,1.224,0.817,0.928,18.473,15.095
171,7 pat p30 7 day ctrl 10x 1_colony_58.tiff,196,50.527,0.965,49980,49980,1.102,0.908,0.936,16.58,15.051
172,7 pat p30 7 day ctrl 10x 1_colony_59.tiff,175,50.527,0.861,44625,44625,1.321,0.757,0.904,17.154,12.989
173,7 pat p30 7 day ctrl 10x 1_colony_6.tiff,207,53.113,0.922,52785,52785,1.245,0.803,0.939,18.77,15.262
174,7 pat p30 7 day ctrl 10x 1_colony_60.tiff,223,56.527,0.877,56865,56865,1.468,0.681,0.931,20.419,13.906
175,7 pat p30 7 day ctrl 10x 1_colony_61.tiff,199,51.113,0.957,50745,50745,1.238,0.808,0.941,18.644,15.502
176,7 pat p30 7 day ctrl 10x 1_colony_62.tiff,225,54.527,0.951,57375,57375,1.251,0.8,0.943,18.927,15.136
177,7 pat p30 7 day ctrl 10x 1_colony_63.tiff,245,57.355,0.936,62475,62475,1.206,0.829,0.935,19.398,16.081
