 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
148,1 pat p30 7 day ctrl 10x 2_colony_96.tiff,529,85.497,28.586,23.562,4.304,0.909,134895,134895,1.213,0.824,0.939
149,1 pat p30 7 day ctrl 10x 2_colony_97.tiff,349,69.497,23.107,19.231,17.522,0.908,88995,88995,1.202,0.832,0.937
150,1 pat p30 7 day ctrl 10x 2_colony_98.tiff,301,66.184,24.043,15.940,106.233,0.864,76755,76755,1.508,0.663,0.938
151,1 pat p30 7 day ctrl 10x 2_colony_99.tiff,299,65.598,24.227,15.714,162.588,0.873,76245,76245,1.542,0.649,0.934
152,1 pat p30 7 day ctrl 10x 3_colony_164.tiff,311,67.012,23.169,17.091,173.265,0.870,79305,79305,1.356,0.738,0.927
153,1 pat p30 7 day ctrl 10x 3_colony_165.tiff,235,58.184,20.925,14.299,116.039,0.872,59925,59925,1.463,0.683,0.922
154,1 pat p30 7 day ctrl 10x 3_colony_166.tiff,223,56.184,20.870,13.605,130.618,0.888,56865,56865,1.534,0.652,0.927
155,1 pat p30 7 day ctrl 10x 3_colony_167.tiff,337,68.184,24.450,17.549,170.302,0.911,85935,85935,1.393,0.718,0.947
156,1 pat p30 7 day ctrl 10x 3_colony_168.tiff,332,69.255,22.798,18.542,150.298,0.870,84660,84660,1.230,0.813,0.925
157,1 pat p30 7 day ctrl 10x 3_colony_169.tiff,232,56.184,20.709,14.264,35.816,0.924,59160,59160,1.452,0.689,0.939
158,1 pat p30 7 day ctrl 10x 3_colony_171.tiff,340,70.770,24.107,17.958,88.520,0.853,86700,86700,1.342,0.745,0.941
159,1 pat p30 7 day ctrl 10x 3_colony_172.tiff,254,61.598,22.688,14.254,111.193,0.841,64770,64770,1.592,0.628,0.917
160,1 pat p30 7 day ctrl 10x 3_colony_173.tiff,187,49.698,17.378,13.701,150.748,0.951,47685,47685,1.268,0.788,0.937
161,1 pat p30 7 day ctrl 10x 3_colony_178.tiff,239,59.012,20.552,14.806,82.254,0.862,60945,60945,1.388,0.720,0.914
162,1 pat p30 7 day ctrl 10x 3_colony_179.tiff,469,82.669,27.501,21.713,3.539,0.862,119595,119595,1.267,0.790,0.931
163,1 pat p30 7 day ctrl 10x 3_colony_180.tiff,300,65.012,23.434,16.300,107.281,0.892,76500,76500,1.438,0.696,0.938
164,1 pat p30 7 day ctrl 10x 3_colony_181.tiff,314,65.841,23.199,17.233,89.170,0.910,80070,80070,1.346,0.743,0.942
165,1 pat p30 7 day ctrl 10x 3_colony_182.tiff,494,83.497,28.817,21.826,115.900,0.890,125970,125970,1.320,0.757,0.946
