 ,Label,Area,Perim.,Circ.,IntDen,RawIntDen,AR,Round,Solidity
142,7 pat ctrl KI67 (561)_C001T001_colony_12.tiff,2421,189.439,0.848,617355,617355,1.533,0.652,0.971
143,7 pat ctrl KI67 (561)_C001T001_colony_13.tiff,1914,165.439,0.879,488070,488070,1.407,0.711,0.973
144,7 pat ctrl KI67 (561)_C001T001_colony_14.tiff,1846,162.024,0.884,470730,470730,1.328,0.753,0.966
145,7 pat ctrl KI67 (561)_C001T001_colony_15.tiff,1764,174.652,0.727,449820,449820,1.946,0.514,0.909
146,7 pat ctrl KI67 (561)_C001T001_colony_16.tiff,1996,168.510,0.883,508980,508980,1.395,0.717,0.971
147,7 pat ctrl KI67 (561)_C001T001_colony_18.tiff,2159,200.794,0.673,550545,550545,1.502,0.666,0.929
148,7 pat ctrl KI67 (561)_C001T001_colony_19.tiff,2037,173.338,0.852,519435,519435,1.394,0.717,0.963
149,7 pat ctrl KI67 (561)_C001T001_colony_2.tiff,2427,187.681,0.866,618885,618885,1.446,0.691,0.973
150,7 pat ctrl KI67 (561)_C001T001_colony_3.tiff,4218,251.179,0.840,1075590,1075590,1.416,0.706,0.971
151,7 pat ctrl KI67 (561)_C001T001_colony_4.tiff,2042,174.024,0.847,520710,520710,1.404,0.712,0.961
152,7 pat ctrl KI67 (561)_C001T001_colony_5.tiff,2442,184.167,0.905,622710,622710,1.226,0.816,0.974
153,7 pat ctrl KI67 (561)_C001T001_colony_6.tiff,2160,173.681,0.900,550800,550800,1.203,0.831,0.973
154,7 pat ctrl KI67 (561)_C001T001_colony_7.tiff,1778,159.681,0.876,453390,453390,1.355,0.738,0.966
155,7 pat ctrl KI67 (561)_C001T001_colony_8.tiff,3034,212.652,0.843,773670,773670,1.523,0.657,0.971
156,7 pat ctrl KI67 (561)_C001T001_colony_9.tiff,1628,150.610,0.902,415140,415140,1.196,0.836,0.970
157,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_10.tiff,2431,187.924,0.865,619905,619905,1.415,0.707,0.970
158,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_15.tiff,1362,141.196,0.859,347310,347310,1.395,0.717,0.960
159,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_16.tiff,1482,183.723,0.552,377910,377910,1.333,0.750,0.874
160,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_18.tiff,1407,142.610,0.869,358785,358785,1.444,0.692,0.964
161,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_21.tiff,1486,145.782,0.879,378930,378930,1.238,0.808,0.959
162,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_25.tiff,1982,172.066,0.841,505410,505410,1.380,0.725,0.947
163,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_26.tiff,1539,147.196,0.893,392445,392445,1.314,0.761,0.967
164,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_27.tiff,2008,168.267,0.891,512040,512040,1.287,0.777,0.970
165,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_29.tiff,1805,159.924,0.887,460275,460275,1.242,0.805,0.966
166,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_31.tiff,2005,167.095,0.902,511275,511275,1.287,0.777,0.973
167,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_32.tiff,2952,215.037,0.802,752760,752760,1.559,0.642,0.944
168,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_34.tiff,2383,182.066,0.903,607665,607665,1.090,0.917,0.970
169,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_35.tiff,2736,196.309,0.892,697680,697680,1.274,0.785,0.969
170,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_36.tiff,1416,140.711,0.899,361080,361080,1.214,0.824,0.967
171,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_37.tiff,1529,148.610,0.870,389895,389895,1.444,0.693,0.967
172,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_38.tiff,1866,247.723,0.382,475830,475830,1.392,0.719,0.813
173,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_39.tiff,1877,163.681,0.880,478635,478635,1.264,0.791,0.967
174,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_4.tiff,2072,171.539,0.885,528360,528360,1.225,0.816,0.970
175,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_40.tiff,2504,192.309,0.851,638520,638520,1.399,0.715,0.967
176,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_43.tiff,1852,214.936,0.504,472260,472260,1.426,0.701,0.874
177,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_49.tiff,2505,188.752,0.884,638775,638775,1.286,0.778,0.972
178,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_50.tiff,2620,194.752,0.868,668100,668100,1.394,0.717,0.974
179,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_62.tiff,1539,157.439,0.780,392445,392445,1.831,0.546,0.958
180,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_63.tiff,2362,185.581,0.862,602310,602310,1.354,0.739,0.965
181,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_64.tiff,1852,162.853,0.878,472260,472260,1.412,0.708,0.970
182,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_7.tiff,1895,164.267,0.883,483225,483225,1.339,0.747,0.969
183,8 ctrl RUNX2 (488)+col1a1(561)_0001_C001T001 (1)_colony_9.tiff,2446,185.681,0.892,623730,623730,1.165,0.859,0.968
184,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_15.tiff,2098,173.338,0.877,534990,534990,1.381,0.724,0.972
185,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_16.tiff,2485,188.652,0.877,633675,633675,1.413,0.708,0.973
186,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_19.tiff,2326,181.924,0.883,593130,593130,1.305,0.766,0.971
187,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_20.tiff,2495,189.238,0.876,636225,636225,1.421,0.704,0.972
188,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_21.tiff,1847,164.267,0.860,470985,470985,1.393,0.718,0.964
189,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_23.tiff,1699,154.853,0.890,433245,433245,1.292,0.774,0.968
190,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_29.tiff,1657,152.853,0.891,422535,422535,1.277,0.783,0.968
191,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_30.tiff,1909,168.510,0.845,486795,486795,1.468,0.681,0.963
192,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_31.tiff,2384,184.752,0.878,607920,607920,1.417,0.706,0.974
193,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_32.tiff,1632,152.368,0.883,416160,416160,1.323,0.756,0.967
194,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_35.tiff,1751,166.167,0.797,446505,446505,1.788,0.559,0.956
195,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_36.tiff,2819,202.510,0.864,718845,718845,1.465,0.683,0.975
196,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_42.tiff,2177,174.995,0.893,555135,555135,1.227,0.815,0.967
197,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_44.tiff,1986,171.095,0.853,506430,506430,1.508,0.663,0.967
198,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_47.tiff,2034,174.853,0.836,518670,518670,1.551,0.645,0.965
199,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_48.tiff,3030,211.137,0.854,772650,772650,1.444,0.692,0.971
200,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_49.tiff,2693,198.167,0.862,686715,686715,1.408,0.710,0.973
201,8 ctrl RUNX2 (488)+col1a1(561)_0002_C001T001_colony_53.tiff,2017,170.024,0.877,514335,514335,1.388,0.720,0.972
