 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,IntDen,RawIntDen,AR,Round,Solidity
368,7 pat p30 7 day ctrl 10x 2_colony_386.tiff,272,62.770,22.382,15.473,24.966,0.868,69360,69360,1.446,0.691,0.930
369,7 pat p30 7 day ctrl 10x 2_colony_387.tiff,178,49.113,16.821,13.474,75.621,0.927,45390,45390,1.248,0.801,0.927
370,7 pat p30 7 day ctrl 10x 2_colony_388.tiff,199,51.941,17.557,14.432,52.602,0.927,50745,50745,1.217,0.822,0.932
371,7 pat p30 7 day ctrl 10x 2_colony_389.tiff,190,50.527,17.242,14.031,35.337,0.935,48450,48450,1.229,0.814,0.929
372,7 pat p30 7 day ctrl 10x 2_colony_390.tiff,175,47.698,15.793,14.108,96.886,0.967,44625,44625,1.119,0.893,0.943
373,7 pat p30 7 day ctrl 10x 2_colony_391.tiff,242,57.941,19.417,15.869,174.827,0.906,61710,61710,1.224,0.817,0.933
374,7 pat p30 7 day ctrl 10x 2_colony_392.tiff,233,55.598,18.370,16.150,83.714,0.947,59415,59415,1.137,0.879,0.932
375,7 pat p30 7 day ctrl 10x 2_colony_393.tiff,201,53.598,19.174,13.347,50.205,0.879,51255,51255,1.437,0.696,0.916
376,7 pat p30 7 day ctrl 10x 2_colony_394.tiff,245,59.941,21.968,14.200,85.216,0.857,62475,62475,1.547,0.646,0.925
377,7 pat p30 7 day ctrl 10x 2_colony_395.tiff,240,56.284,18.775,16.276,104.717,0.952,61200,61200,1.154,0.867,0.954
378,7 pat p30 7 day ctrl 10x 2_colony_396.tiff,214,54.184,18.865,14.444,53.925,0.916,54570,54570,1.306,0.766,0.924
379,7 pat p30 7 day ctrl 10x 2_colony_397.tiff,266,61.012,21.737,15.581,157.280,0.898,67830,67830,1.395,0.717,0.928
380,7 pat p30 7 day ctrl 10x 2_colony_398.tiff,228,54.527,18.316,15.849,112.351,0.964,58140,58140,1.156,0.865,0.948
381,7 pat p30 7 day ctrl 10x 2_colony_399.tiff,204,52.527,17.876,14.530,141.615,0.929,52020,52020,1.230,0.813,0.927
382,7 pat p30 7 day ctrl 10x 2_colony_400.tiff,200,51.355,16.198,15.720,178.568,0.953,51000,51000,1.030,0.970,0.930
383,7 pat p30 7 day ctrl 10x 2_colony_401.tiff,283,60.770,20.763,17.354,135.816,0.963,72165,72165,1.196,0.836,0.951
